player,value,nationality,age,height,league,champions_league,team,position_type,position,foot,games,games_starts,minutes,game_win,game_lose,game_clean_sheets,goals_team,assits_team,goals,assists,shots_total,shots_on_target,goal_created,dribbles,dribbles_completed_pct,aerials_won,aerials_won_pct,passes,passes_pct,passes_received,passes_received_pct,touches,carry_distance,carry_progressive_distance,blocks,blocked_passes,blocked_shots,clearances,tackles,tackles_won,ball_recoveries,saves,save_pct,pens_saved,cards_yellow,cards_red,dispossessed,errors
Martin Aguirregabiria,4000000,es ESP,23,178,La Liga,0,AlavĂ©s,Defender,Right-Back,right,31,23,2099,10,19,0,0.9,1.0,1,1,3,1,3,26,53.8,23,53.5,1014,71.2,608,89.8,1231,3313,1909,39,31,8,68,50,22,207,0,0.0,0,5,1,17,1
Oliver Burke,4000000,sco SCO,22,188,La Liga,0,AlavĂ©s,Forward,Right Winger,right,31,14,1429,10,19,0,3.2,1.2,1,2,20,9,2,44,59.1,23,37.7,333,67.9,356,57.9,526,2795,1676,25,23,2,14,20,5,75,0,0.0,0,2,0,33,0
VĂ­ctor Camarasa,4000000,es ESP,25,183,La Liga,0,AlavĂ©s,Midfielder,Central Midfield,right,17,15,1293,10,19,0,0.3,1.6,0,1,8,2,2,29,55.2,12,44.4,533,80.7,432,84.4,662,2401,976,16,13,3,18,17,14,114,0,0.0,0,1,0,12,0
RubĂ©n Duarte,4000000,es ESP,23,172,La Liga,0,AlavĂ©s,Defender,Left-Back,left,31,30,2663,10,19,0,1.3,0.9,0,1,20,8,6,10,40.0,58,54.2,1310,71.2,730,92.3,1651,3688,1863,62,53,9,128,69,38,289,0,0.0,0,11,0,16,1
Rodrigo Ely,1000000,br BRA,25,188,La Liga,0,AlavĂ©s,Defender,Centre-Back,right,25,24,2121,10,19,0,0.7,0.1,2,0,6,3,0,4,100.0,81,70.4,839,79.5,544,95.6,1111,2576,983,38,18,20,178,27,16,268,0,0.0,0,9,1,8,1
Ljubomir Fejsa,2000000,rs SRB,30,183,La Liga,0,AlavĂ©s,Midfielder,Defensive Midfield,right,13,11,786,10,19,0,0.0,0.0,0,0,1,0,0,4,75.0,20,69.0,290,80.7,178,90.8,357,685,132,9,8,1,15,27,17,114,0,0.0,0,2,0,3,0
Manu GarcĂ­a,1000000,es ESP,33,183,La Liga,0,AlavĂ©s,Midfielder,Defensive Midfield,left,30,22,1967,10,19,0,2.0,0.2,0,0,20,7,0,15,66.7,59,56.2,710,73.4,532,81.2,961,2144,734,33,23,10,61,51,38,241,0,0.0,0,11,1,25,0
John Guidetti,1000000,se SWE,27,185,La Liga,0,AlavĂ©s,Forward,Centre-Forward,right,5,1,96,10,19,0,0.2,0.0,0,0,2,0,0,4,50.0,1,50.0,35,62.9,35,54.7,46,160,97,1,1,0,0,3,2,3,0,0.0,0,0,0,2,0
Joselu,5000000,es ESP,29,191,La Liga,0,AlavĂ©s,Forward,Centre-Forward,right,36,31,2782,10,19,0,10.5,2.2,11,2,81,28,13,25,48.0,266,65.7,995,54.4,1079,66.0,1435,2232,802,39,33,6,44,25,16,177,0,0.0,0,6,0,57,0
VĂ­ctor Laguardia,7000000,es ESP,29,185,La Liga,0,AlavĂ©s,Defender,Centre-Back,right,31,31,2654,10,19,0,0.8,0.9,1,2,8,1,3,5,60.0,60,69.0,1026,75.4,675,97.5,1316,3139,1400,45,29,16,182,25,17,298,0,0.0,0,9,1,3,1
Javi LĂłpez,80000,es ESP,17,180,La Liga,0,AlavĂ©s,Defender,Right-Back,right,1,1,90,10,19,0,0.0,0.0,0,0,0,0,0,0,0.0,1,100.0,30,60.0,17,89.5,45,107,55,1,0,1,6,5,3,6,0,0.0,0,0,0,1,0
JosĂ© Luis RodrĂ­guez,45000,pa PAN,21,180,La Liga,0,AlavĂ©s,Forward,Left Winger,left,1,0,22,10,19,0,0.0,0.0,0,0,1,1,0,1,100.0,0,0.0,5,60.0,6,66.7,8,20,8,0,0,0,0,0,0,2,0,0.0,0,0,0,0,0
Lisandro MagallĂˇn,4000000,ar ARG,25,185,La Liga,0,AlavĂ©s,Defender,Centre-Back,right,17,13,1197,10,19,0,0.6,0.7,1,1,6,1,2,3,66.7,33,61.1,426,80.0,278,94.9,566,1669,808,19,11,8,76,25,13,126,0,0.0,0,4,0,3,1
Abdallahi Mahmoud,10000,mr MTN,19,187,La Liga,0,AlavĂ©s,Midfielder,Central Midfield,,3,1,152,10,19,0,0.0,0.0,0,0,0,0,0,4,75.0,4,57.1,38,86.8,35,97.2,61,211,101,1,1,0,3,5,5,9,0,0.0,0,1,0,2,0
