"case","alt","choice","dist","cost","ivt","ovt","freq","income","urban","noalt"
1,"train",0,83,28.25,50,66,4,45,0,2
1,"car",1,83,15.77,61,0,0,45,0,2
2,"train",0,83,28.25,50,66,4,25,0,2
2,"car",1,83,15.77,61,0,0,25,0,2
3,"train",0,83,28.25,50,66,4,70,0,2
3,"car",1,83,15.77,61,0,0,70,0,2
4,"train",0,83,28.25,50,66,4,70,0,2
4,"car",1,83,15.77,61,0,0,70,0,2
5,"train",0,83,28.25,50,66,4,55,0,2
5,"car",1,83,15.77,61,0,0,55,0,2
6,"train",0,83,28.25,50,66,4,70,0,2
6,"car",1,83,15.77,61,0,0,70,0,2
7,"train",0,83,28.25,50,66,4,15,0,2
7,"car",1,83,15.77,61,0,0,15,0,2
8,"train",0,83,28.25,50,66,4,15,0,2
8,"car",1,83,15.77,61,0,0,15,0,2
9,"train",0,83,28.25,50,66,4,35,0,2
9,"car",1,83,15.77,61,0,0,35,0,2
10,"train",0,83,28.25,50,66,4,25,0,2
10,"car",1,83,15.77,61,0,0,25,0,2
11,"train",0,105,31.25,50,74,4,35,0,2
11,"car",1,105,19.95,79,0,0,35,0,2
12,"train",0,105,31.25,50,74,4,70,0,2
12,"car",1,105,19.95,79,0,0,70,0,2
13,"train",0,105,31.25,50,74,4,70,0,2
13,"car",1,105,19.95,79,0,0,70,0,2
14,"train",0,154,45.65,117,109,4,70,0,2
14,"car",1,154,29.26,119,0,0,70,0,2
15,"train",0,154,45.65,117,109,4,35,0,2
15,"car",1,154,29.26,119,0,0,35,0,2
16,"train",0,154,45.65,117,109,4,70,0,2
16,"car",1,154,29.26,119,0,0,70,0,2
17,"train",0,186,45.65,117,109,4,45,0,2
17,"car",1,186,35.34,146,0,0,45,0,2
18,"train",0,204,43.4,117,74,4,35,0,3
18,"bus",0,204,19.87,149,89,8,35,0,3
18,"car",1,204,38.76,137,0,0,35,0,3
19,"train",0,282,50.65,174,99,4,45,0,3
19,"air",0,282,164.2,56,149,9,45,0,3
19,"car",1,282,53.58,186,0,0,45,0,3
20,"train",1,345,66.65,209,94,4,70,0,3
20,"air",0,345,159.5,56,139,9,70,0,3
20,"car",0,345,65.55,226,0,0,70,0,3
21,"train",0,345,66.65,209,94,4,35,0,3
21,"air",0,345,159.5,56,139,9,35,0,3
21,"car",1,345,65.55,226,0,0,35,0,3
22,"train",0,345,66.65,209,94,4,45,0,3
22,"air",0,345,159.5,56,139,9,45,0,3
22,"car",1,345,65.55,226,0,0,45,0,3
23,"train",0,345,66.65,209,94,4,35,0,3
23,"air",0,345,159.5,56,139,9,35,0,3
23,"car",1,345,65.55,226,0,0,35,0,3
24,"train",0,345,66.65,209,94,4,45,0,3
24,"air",0,345,159.5,56,139,9,45,0,3
24,"car",1,345,65.55,226,0,0,45,0,3
25,"train",0,345,66.65,209,94,4,70,0,3
25,"air",0,345,159.5,56,139,9,70,0,3
25,"car",1,345,65.55,226,0,0,70,0,3
26,"train",0,345,66.65,209,94,4,55,0,3
26,"air",0,345,159.5,56,139,9,55,0,3
