"Purchase","WeekofPurchase","StoreID","PriceCH","PriceMM","DiscCH","DiscMM","SpecialCH","SpecialMM","LoyalCH","PriceDiff"
"CH",237,1,1.75,1.99,0,0,0,0,0.5,0.24
"CH",239,1,1.75,1.99,0,0.3,0,1,0.6,-0.06
"CH",245,1,1.86,2.09,0.17,0,0,0,0.68,0.4
"MM",227,1,1.69,1.69,0,0,0,0,0.4,0
"CH",228,7,1.69,1.69,0,0,0,0,0.956535,0
"CH",230,7,1.69,1.99,0,0,0,1,0.965228,0.3
"CH",232,7,1.69,1.99,0,0.4,1,1,0.972182,-0.1
"CH",234,7,1.75,1.99,0,0.4,1,0,0.977746,-0.16
"CH",235,7,1.75,1.99,0,0.4,0,0,0.982197,-0.16
"CH",238,7,1.75,1.99,0,0.4,0,0,0.985757,-0.16
"CH",240,7,1.86,2.09,0,0,0,0,0.988606,0.23
"CH",263,7,1.86,2.13,0.27,0,0,0,0.990885,0.54
"CH",276,7,1.99,2.13,0,0.54,0,1,0.992708,-0.4
"CH",268,7,1.86,2.13,0,0,0,0,0.68,0.27
"CH",278,7,2.06,2.13,0,0,0,0,0.744,0.07
"CH",278,7,2.06,2.13,0,0,0,0,0.7952,0.07
"MM",240,1,1.75,1.99,0,0.3,0,1,0.5,-0.06
"MM",268,2,1.86,2.18,0,0,0,1,0.4,0.32
"MM",269,2,1.86,2.18,0,0,0,0,0.32,0.32
"CH",254,7,1.86,2.18,0,0,0,0,0.5,0.32
"CH",257,7,1.86,2.18,0,0,0,0,0.6,0.32
"CH",258,1,1.76,2.18,0,0,0,0,0.68,0.42
"CH",259,7,1.86,2.18,0,0,0,0,0.744,0.32
"CH",264,7,1.86,2.13,0.37,0,1,0,0.7952,0.64
"CH",268,7,1.86,2.13,0,0,0,0,0.83616,0.27
"CH",269,7,1.86,2.13,0.27,0,1,0,0.868928,0.54
"CH",271,7,1.86,2.13,0,0,0,0,0.895142,0.27
"CH",272,7,1.86,2.13,0,0,0,0,0.916114,0.27
"CH",274,7,1.86,2.13,0.47,0.54,1,0,0.932891,0.2
"CH",278,7,2.06,2.13,0,0,0,0,0.946313,0.07
"CH",246,2,1.89,2.09,0,0,0,0,0.5,0.2
"CH",265,7,1.86,2.13,0.37,0,1,0,0.6,0.64
"MM",275,2,1.96,2.18,0,0.8,0,1,0.68,-0.58
"MM",232,2,1.69,1.69,0,0,1,0,0.68,0
"CH",251,3,1.99,2.23,0,0,0,0,0.544,0.24
"CH",256,3,1.99,2.29,0,0,0,0,0.6352,0.3
"CH",258,1,1.76,2.18,0,0,0,0,0.70816,0.42
"CH",277,1,1.99,2.13,0.24,0,0,0,0.7952,0.38
"CH",271,4,1.99,2.09,0.1,0.4,1,0,0.4,-0.2
"CH",227,4,1.79,1.79,0,0,0,1,0.920961,0
"CH",229,4,1.79,1.79,0,0,0,0,0.936769,0
"CH",230,4,1.79,1.79,0,0,0,0,0.949415,0
"CH",233,4,1.79,2.09,0,0,0,0,0.959532,0.3
"CH",236,4,1.79,2.09,0,0,0,0,0.967626,0.3
"MM",237,4,1.79,2.09,0,0,0,0,0.9741,0.3
"CH",240,4,1.79,2.23,0,0,0,0,0.77928,0.44
"CH",244,4,1.99,2.23,0,0,0,0,0.823424,0.24
"CH",245,4,1.99,2.23,0,0,0,0,0.858739,0.24
"CH",246,4,1.99,2.23,0,0,0,0,0.886992,0.24
"CH",247,4,1.99,2.23,0,0,0,0,0.909593,0.24
"MM",248,4,1.99,2.23,0,0,0,0,0.927675,0.24
"CH",249,4,1.99,2.23,0,0,0,0,0.74214,0.24
"CH",252,4,1.99,2.23,0,0,0,0,0.793712,0.24
"MM",254,4,1.99,2.29,0,0,1,0,0.834969,0.3
"CH",256,4,1.99,2.29,0,0,0,0,0.667976,0.3
"CH",256,4,1.99,2.29,0,0,0,0,0.73438,0.3
"CH",257,4,1.99,2.29,0,0.4,0,1,0.787504,-0.1
"CH",258,4,1.99,2.29,0,0,0,0,0.830003,0.3
"CH",258,7,1.86,2.18,0,0,0,0,0.864003,0.32
"CH",259,4,1.99,2.29,0,0,0,0,0.891202,0.3
"CH",260,4,1.99,2.09,0,0,0,0,0.912962,0.1
"CH",263,4,1.99,2.09,0,0,0,0,0.930369,0.1
"MM",265,4,1.99,2.09,0.1,0,0,0,0.944296,0.2
"CH",265,4,1.99,2.09,0.1,0,0,0,0.755436,0.2
"CH",266,4,1.99,2.09,0.1,0,0,0,0.804349,0.2
"CH",267,4,1.99,2.09,0.1,0,0,0,0.843479,0.2
"MM",269,4,1.99,2.09,0.1,0,0,0,0.874783,0.2
"MM",270,4,1.99,2.09,0.1,0,0,0,0.699827,0.2
"CH",272,4,1.99,2.09,0,0.4,0,0,0.559861,-0.3
"CH",272,4,1.99,2.09,0,0.4,0,0,0.647889,-0.3
"CH",274,4,1.99,2.09,0,0.4,0,0,0.718311,-0.3
"CH",275,4,2.09,2.09,0,0.4,0,0,0.774649,-0.4
"CH",276,4,2.09,2.09,0.2,0.4,0,0,0.819719,-0.2
"CH",278,4,2.09,2.09,0.2,0,0,0,0.855775,0.2
"CH",230,7,1.69,1.99,0,0,0,1,0.68,0.3
"CH",238,4,1.79,2.09,0,0,0,0,0.744,0.3
"CH",239,4,1.79,2.23,0,0,0,0,0.7952,0.44
"CH",251,4,1.99,2.23,0,0,0,0,0.83616,0.24
"CH",252,2,1.89,2.09,0.13,0,0,0,0.868928,0.33
"CH",255,4,1.99,2.29,0,0,0,0,0.895142,0.3
"CH",263,4,1.99,2.09,0,0,0,0,0.916114,0.1
"CH",264,4,1.99,2.09,0.1,0,0,0,0.932891,0.2
"CH",269,4,1.99,2.09,0.1,0,0,0,0.946313,0.2
"CH",273,4,1.99,2.09,0,0.4,0,0,0.95705,-0.3
"CH",275,4,2.09,2.09,0,0.4,0,0,0.96564,-0.4
"CH",276,2,1.99,2.18,0,0,0,1,0.972512,0.19
"CH",277,4,2.09,2.09,0.2,0.4,0,0,0.97801,-0.2
"CH",252,4,1.99,2.23,0,0,0,0,0.68,0.24
"CH",275,4,2.09,2.09,0,0.4,0,0,0.744,-0.4
"CH",277,3,2.09,2.09,0.2,0.4,0,0,0.7952,-0.2
"CH",237,4,1.79,2.09,0,0,0,0,0.5,0.3
"CH",269,4,1.99,2.09,0.1,0,0,0,0.6,0.2
"CH",242,4,1.99,2.23,0,0,0,0,0.5,0.24
"CH",244,7,1.86,2.09,0,0.2,0,0,0.6,0.03
"CH",241,2,1.75,1.99,0,0.3,0,1,0.5,-0.06
"CH",277,2,1.99,2.18,0,0,0,0,0.6,0.19
"CH",277,7,1.99,2.13,0.5,0,0,1,0.4,0.64
"CH",227,2,1.69,1.69,0,0,0,0,0.744,0
"CH",229,2,1.69,1.69,0,0,0,0,0.7952,0
"CH",234,2,1.69,1.99,0,0,0,0,0.83616,0.3
"CH",236,2,1.75,1.99,0,0,0,0,0.868928,0.24
"CH",237,2,1.75,1.99,0,0,0,0,0.895142,0.24
"CH",240,2,1.75,1.99,0,0.3,0,1,0.916114,-0.06
"MM",241,2,1.75,1.99,0,0.3,0,1,0.932891,-0.06
"CH",243,2,1.86,2.09,0,0,0,1,0.746313,0.23
"CH",245,2,1.89,2.09,0,0,0,0,0.79705,0.2
"CH",245,1,1.86,2.09,0.17,0,0,0,0.83764,0.4
"CH",248,2,1.89,2.09,0,0,0,0,0.870112,0.2
"CH",248,2,1.89,2.09,0,0,0,0,0.89609,0.2
"CH",249,2,1.89,2.09,0,0,0,0,0.916872,0.2
"CH",249,1,1.86,2.09,0,0,0,0,0.933497,0.23
"MM",251,3,1.99,2.23,0,0,0,0,0.946798,0.24
"CH",253,2,1.89,2.09,0.13,0,0,0,0.757438,0.33
"CH",254,2,1.89,2.09,0.13,0,0,0,0.805951,0.33
"CH",255,2,1.89,2.18,0.13,0,0,0,0.844761,0.42
"CH",257,3,1.99,2.29,0,0.4,0,1,0.875808,-0.1
"CH",257,2,1.86,2.18,0,0,0,0,0.900647,0.32
"CH",258,2,1.86,2.18,0,0,0,0,0.920517,0.32
"CH",259,3,1.99,2.29,0,0,0,0,0.936414,0.3
"CH",259,2,1.86,2.18,0,0.4,0,1,0.949131,-0.08
"CH",260,2,1.86,2.18,0,0.7,0,0,0.959305,-0.38
"CH",261,1,1.76,1.99,0,0,0,0,0.967444,0.23
"CH",261,2,1.86,2.18,0,0,0,0,0.973955,0.32
"CH",263,2,1.86,2.18,0,0,0,1,0.979164,0.32
"MM",264,2,1.86,2.18,0,0,0,0,0.983331,0.32
"CH",265,2,1.86,2.18,0,0,0,0,0.786665,0.32
"CH",266,1,1.86,1.99,0,0.1,0,0,0.829332,0.03
"CH",266,2,1.86,2.18,0,0,0,0,0.863466,0.32
"CH",267,2,1.86,2.18,0,0.4,0,1,0.890772,-0.08
"CH",270,2,1.86,2.18,0,0,0,0,0.912618,0.32
"CH",270,1,1.86,2.18,0,0,0,0,0.930094,0.32
"CH",271,2,1.86,2.18,0,0.06,0,0,0.944076,0.26
"CH",272,2,1.86,2.18,0,0.06,0,0,0.95526,0.26
"CH",273,7,1.86,2.13,0,0.54,0,0,0.964208,-0.27
"CH",273,1,1.86,2.18,0,0,0,0,0.971367,0.32
"CH",274,2,1.96,2.18,0,0.8,0,1,0.977093,-0.58
"CH",275,2,1.96,2.18,0,0.8,0,1,0.981675,-0.58
"CH",276,7,1.99,2.13,0,0.54,0,1,0.98534,-0.4
"CH",278,2,1.99,2.18,0,0,0,0,0.988272,0.19
"CH",242,3,1.99,2.23,0,0,0,0,0.6,0.24
"CH",237,1,1.75,1.99,0,0,0,0,0.52,0.24
"CH",251,4,1.99,2.23,0,0,0,0,0.5,0.24
"MM",255,4,1.99,2.29,0,0,0,0,0.6,0.3
"MM",261,7,1.86,2.13,0,0.24,0,0,0.48,0.03
"CH",277,4,2.09,2.09,0.2,0.4,0,0,0.384,-0.2
"MM",233,7,1.75,1.99,0,0.4,1,0,0.5,-0.16
"MM",236,7,1.75,1.99,0,0.4,0,0,0.4,-0.16
"MM",243,7,1.86,2.09,0,0.2,0,0,0.32,0.03
"MM",244,7,1.86,2.09,0,0.2,0,0,0.256,0.03
"MM",245,7,1.86,2.09,0,0.2,0,0,0.2048,0.03
"MM",252,7,1.86,2.09,0.1,0,0,0,0.16384,0.33
"MM",277,7,1.99,2.13,0.5,0,0,1,0.131072,0.64
"CH",228,4,1.79,1.79,0,0,0,0,0.83616,0
"CH",230,3,1.79,1.79,0,0,0,0,0.868928,0
"CH",231,3,1.79,1.79,0,0,0,0,0.895142,0
"CH",233,1,1.69,1.99,0,0,0,0,0.916114,0.3
"CH",263,4,1.99,2.09,0,0,0,0,0.932891,0.1
"CH",264,4,1.99,2.09,0.1,0,0,0,0.946313,0.2
"CH",265,4,1.99,2.09,0.1,0,0,0,0.95705,0.2
"CH",266,4,1.99,2.09,0.1,0,0,0,0.96564,0.2
"CH",267,4,1.99,2.09,0.1,0,0,0,0.972512,0.2
"CH",269,4,1.99,2.09,0.1,0,0,0,0.97801,0.2
"CH",270,1,1.86,2.18,0,0,0,0,0.982408,0.32
"CH",271,4,1.99,2.09,0.1,0.4,1,0,0.985926,-0.2
"CH",272,4,1.99,2.09,0,0.4,0,0,0.988741,-0.3
"CH",274,4,1.99,2.09,0,0.4,0,0,0.990993,-0.3
"CH",276,4,2.09,2.09,0.2,0.4,0,0,0.992794,-0.2
"CH",277,4,2.09,2.09,0.2,0.4,0,0,0.994235,-0.2
"CH",278,3,2.09,2.09,0.2,0,0,0,0.995388,0.2
"CH",269,2,1.86,2.18,0,0,0,0,0.6,0.32
"CH",229,7,1.69,1.69,0,0.2,0,1,0.95705,-0.2
"CH",230,7,1.69,1.99,0,0,0,1,0.96564,0.3
"CH",231,4,1.79,1.79,0,0,0,0,0.972512,0
"CH",233,4,1.79,2.09,0,0,0,0,0.97801,0.3
"CH",239,7,1.79,2.09,0,0,0,0,0.982408,0.3
"CH",240,4,1.79,2.23,0,0,0,0,0.985926,0.44
"CH",242,7,1.86,2.09,0,0,0,0,0.988741,0.23
"CH",243,4,1.99,2.23,0,0,0,0,0.990993,0.24
"CH",244,7,1.86,2.09,0,0.2,0,0,0.992794,0.03
"CH",246,4,1.99,2.23,0,0,0,0,0.994235,0.24
"CH",249,4,1.99,2.23,0,0,0,0,0.995388,0.24
"CH",250,7,1.86,2.09,0,0,0,0,0.996311,0.23
"CH",251,4,1.99,2.23,0,0,0,0,0.997049,0.24
"CH",254,4,1.99,2.29,0,0,1,0,0.997639,0.3
"CH",255,4,1.99,2.29,0,0,0,0,0.998111,0.3
"CH",257,4,1.99,2.29,0,0.4,0,1,0.998489,-0.1
"CH",260,4,1.99,2.09,0,0,0,0,0.998791,0.1
"CH",261,4,1.99,2.09,0,0,0,0,0.999033,0.1
"CH",262,4,1.99,2.09,0,0,0,0,0.999226,0.1
"CH",264,4,1.99,2.09,0.1,0,0,0,0.999381,0.2
"CH",265,4,1.99,2.09,0.1,0,0,0,0.999505,0.2
"CH",266,7,1.86,2.13,0.37,0,1,0,0.999604,0.64
"CH",267,7,1.86,2.13,0,0,1,0,0.999683,0.27
"CH",269,7,1.86,2.13,0.27,0,1,0,0.999746,0.54
"CH",271,4,1.99,2.09,0.1,0.4,1,0,0.999797,-0.2
"CH",272,4,1.99,2.09,0,0.4,0,0,0.999838,-0.3
"CH",274,4,1.99,2.09,0,0.4,0,0,0.99987,-0.3
"CH",275,7,1.99,2.13,0,0.54,1,0,0.999896,-0.4
"CH",276,4,2.09,2.09,0.2,0.4,0,0,0.999917,-0.2
"CH",277,7,1.99,2.13,0.5,0,0,1,0.999934,0.64
"CH",278,4,2.09,2.09,0.2,0,0,0,0.999947,0.2
"MM",229,7,1.69,1.69,0,0.2,0,1,0.68,-0.2
"CH",230,7,1.69,1.99,0,0,0,1,0.544,0.3
"CH",231,7,1.69,1.99,0,0,0,0,0.6352,0.3
"CH",233,7,1.75,1.99,0,0.4,1,0,0.70816,-0.16
"CH",237,7,1.75,1.99,0,0.4,0,0,0.766528,-0.16
"CH",241,7,1.86,2.09,0,0,0,0,0.813222,0.23
"CH",242,7,1.86,2.09,0,0,0,0,0.850578,0.23
"CH",253,7,1.86,2.09,0.1,0,0,0,0.880462,0.33
"CH",256,7,1.86,2.18,0,0,0,0,0.90437,0.32
"CH",258,7,1.86,2.18,0,0,0,0,0.923496,0.32
"CH",259,7,1.86,2.18,0,0,0,0,0.938797,0.32
"CH",260,7,1.86,2.13,0,0.24,0,0,0.951037,0.03
"CH",263,7,1.86,2.13,0.27,0,0,0,0.96083,0.54
"CH",264,7,1.86,2.13,0.37,0,1,0,0.968664,0.64
"CH",265,7,1.86,2.13,0.37,0,1,0,0.974931,0.64
"CH",265,7,1.86,2.13,0.37,0,1,0,0.979945,0.64
"CH",267,7,1.86,2.13,0,0,1,0,0.983956,0.27
"CH",270,7,1.86,2.13,0.27,0,1,0,0.987165,0.54
"CH",272,7,1.86,2.13,0,0,0,0,0.989732,0.27
"CH",274,2,1.96,2.18,0,0.8,0,1,0.991785,-0.58
"MM",228,1,1.69,1.69,0,0,0,0,0.32,0
"CH",234,1,1.69,1.99,0,0,0,0,0.256,0.3
"MM",243,1,1.86,1.99,0,0.8,0,1,0.4048,-0.67
"CH",251,1,1.76,2.09,0,0,0,0,0.32384,0.33
"MM",253,1,1.76,2.09,0,0,0,0,0.459072,0.33
"MM",242,3,1.99,2.23,0,0,0,0,0.5,0.24
"MM",244,3,1.99,2.23,0,0,0,0,0.4,0.24
"MM",247,3,1.99,2.23,0,0,0,0,0.32,0.24
"CH",274,7,1.86,2.13,0.47,0.54,1,0,0.52,0.2
"MM",276,7,1.99,2.13,0,0.54,0,1,0.616,-0.4
"CH",228,7,1.69,1.69,0,0,0,0,0.535142,0
"CH",233,7,1.75,1.99,0,0.4,1,0,0.628114,-0.16
"MM",234,7,1.75,1.99,0,0.4,1,0,0.702491,-0.16
"CH",235,7,1.75,1.99,0,0.4,0,0,0.561993,-0.16
"CH",236,3,1.79,2.09,0,0,0,0,0.649594,0.3
"CH",238,3,1.79,2.09,0,0,0,0,0.719675,0.3
"CH",240,7,1.86,2.09,0,0,0,0,0.77574,0.23
"CH",250,7,1.86,2.09,0,0,0,0,0.820592,0.23
"CH",254,7,1.86,2.18,0,0,0,0,0.856474,0.32
"CH",257,7,1.86,2.18,0,0,0,0,0.885179,0.32
"CH",258,7,1.86,2.18,0,0,0,0,0.908143,0.32
"CH",259,7,1.86,2.18,0,0,0,0,0.926515,0.32
"CH",260,7,1.86,2.13,0,0.24,0,0,0.941212,0.03
"CH",261,7,1.86,2.13,0,0.24,0,0,0.952969,0.03
"CH",262,7,1.86,2.13,0,0,0,0,0.962375,0.27
"CH",264,7,1.86,2.13,0.37,0,1,0,0.9699,0.64
"CH",266,7,1.86,2.13,0.37,0,1,0,0.97592,0.64
"CH",268,7,1.86,2.13,0,0,0,0,0.980736,0.27
"CH",268,7,1.86,2.13,0,0,0,0,0.984589,0.27
"CH",269,7,1.86,2.13,0.27,0,1,0,0.987671,0.54
"CH",270,7,1.86,2.13,0.27,0,1,0,0.990137,0.54
"CH",271,7,1.86,2.13,0,0,0,0,0.99211,0.27
"CH",272,7,1.86,2.13,0,0,0,0,0.993688,0.27
"MM",275,7,1.99,2.13,0,0.54,1,0,0.99495,-0.4
"CH",229,7,1.69,1.69,0,0.2,0,1,0.16384,-0.2
"CH",232,7,1.69,1.99,0,0.4,1,1,0.331072,-0.1
"CH",257,2,1.86,2.18,0,0,0,0,0.5,0.32
"MM",264,3,1.99,2.09,0.1,0,0,0,0.6,0.2
"MM",265,2,1.86,2.18,0,0,0,0,0.48,0.32
"MM",267,2,1.86,2.18,0,0.4,0,1,0.384,-0.08
"CH",270,2,1.86,2.18,0,0,0,0,0.3072,0.32
"CH",272,2,1.86,2.18,0,0.06,0,0,0.44576,0.26
"CH",273,2,1.86,2.18,0,0.06,0,0,0.556608,0.26
"CH",276,2,1.99,2.18,0,0,0,1,0.645286,0.19
"CH",278,2,1.99,2.18,0,0,0,0,0.716229,0.19
"MM",259,2,1.86,2.18,0,0.4,0,1,0.6672,-0.08
"MM",229,3,1.79,1.79,0,0,0,0,0.5648,0
"MM",235,3,1.79,2.09,0,0,0,0,0.45184,0.3
"MM",261,2,1.86,2.18,0,0,0,0,0.53376,0.32
"MM",273,2,1.86,2.18,0,0.06,0,0,0.427008,0.26
"MM",276,3,2.09,2.09,0.2,0.4,0,0,0.341606,-0.2
"MM",278,3,2.09,2.09,0.2,0,0,0,0.273285,0.2
"MM",229,3,1.79,1.79,0,0,0,0,0.027488,0
"MM",234,3,1.79,2.09,0,0,0,0,0.02199,0.3
"MM",239,3,1.79,2.23,0,0,0,0,0.017592,0.44
"MM",240,3,1.79,2.23,0,0,0,0,0.014074,0.44
"MM",240,3,1.79,2.23,0,0,0,0,0.011259,0.44
"MM",241,3,1.79,2.23,0,0,0,0,0.009007,0.44
"MM",242,3,1.99,2.23,0,0,0,0,0.007206,0.24
"MM",243,3,1.99,2.23,0,0,0,0,0.005765,0.24
"MM",244,3,1.99,2.23,0,0,0,0,0.004612,0.24
"MM",247,3,1.99,2.23,0,0,0,0,0.003689,0.24
"MM",248,3,1.99,2.23,0,0,0,0,0.002951,0.24
"MM",250,3,1.99,2.23,0,0,0,0,0.002361,0.24
"MM",253,3,1.99,2.23,0,0,0,0,0.001889,0.24
"MM",259,3,1.99,2.29,0,0,0,0,0.001511,0.3
"MM",261,3,1.99,2.09,0,0,0,0,0.001209,0.1
"MM",263,3,1.99,2.09,0,0,0,0,0.000967,0.1
"MM",264,3,1.99,2.09,0.1,0,0,0,0.000774,0.2
"MM",266,3,1.99,2.09,0.1,0,0,0,0.000619,0.2
"MM",267,3,1.99,2.09,0.1,0,0,0,0.000495,0.2
"MM",270,2,1.86,2.18,0,0,0,0,0.000396,0.32
"MM",273,2,1.86,2.18,0,0.06,0,0,0.000317,0.26
"MM",275,2,1.96,2.18,0,0.8,0,1,0.000254,-0.58
"MM",276,3,2.09,2.09,0.2,0.4,0,0,0.000203,-0.2
"CH",228,2,1.69,1.69,0,0,0,0,0.48,0
"MM",229,2,1.69,1.69,0,0,0,0,0.584,0
"MM",231,2,1.69,1.69,0.3,0,1,0,0.4672,0.3
"MM",233,2,1.69,1.69,0,0,0,0,0.37376,0
"CH",234,3,1.79,2.09,0,0,0,0,0.299008,0.3
"MM",240,2,1.75,1.99,0,0.3,0,1,0.439206,-0.06
"MM",242,2,1.75,1.99,0.16,0.3,0,1,0.351365,0.1
"CH",245,2,1.89,2.09,0,0,0,0,0.281092,0.2
"MM",253,3,1.99,2.23,0,0,0,0,0.424874,0.24
"MM",256,2,1.89,2.18,0.13,0,0,0,0.339899,0.42
"MM",262,2,1.86,2.18,0,0.6,0,1,0.271919,-0.28
"MM",263,2,1.86,2.18,0,0,0,1,0.217535,0.32
"CH",269,3,1.99,2.09,0.1,0,0,0,0.174028,0.2
"CH",270,2,1.86,2.18,0,0,0,0,0.339223,0.32
"CH",272,2,1.86,2.18,0,0.06,0,0,0.471378,0.26
"CH",273,2,1.86,2.18,0,0.06,0,0,0.577102,0.26
"CH",275,2,1.96,2.18,0,0.8,0,1,0.661682,-0.58
"CH",276,2,1.99,2.18,0,0,0,1,0.729346,0.19
"CH",276,2,1.99,2.18,0,0,0,1,0.783476,0.19
"CH",278,2,1.99,2.18,0,0,0,0,0.826781,0.19
"MM",238,3,1.79,2.09,0,0,0,0,0.7952,0.3
"CH",241,3,1.79,2.23,0,0,0,0,0.63616,0.44
"CH",246,3,1.99,2.23,0,0,0,0,0.708928,0.24
"CH",251,3,1.99,2.23,0,0,0,0,0.5,0.24
"CH",257,3,1.99,2.29,0,0.4,0,1,0.6,-0.1
"CH",264,3,1.99,2.09,0.1,0,0,0,0.68,0.2
"MM",271,3,1.99,2.09,0.1,0.4,1,0,0.5,-0.2
"CH",271,3,1.99,2.09,0.1,0.4,1,0,0.4,-0.2
"MM",230,1,1.69,1.69,0,0.2,0,0,0.4,-0.2
"CH",231,1,1.69,1.69,0.3,0.2,1,0,0.32,0.1
"CH",251,1,1.76,2.09,0,0,0,0,0.456,0.33
"CH",266,1,1.86,1.99,0,0.1,0,0,0.5648,0.03
"MM",267,4,1.99,2.09,0.1,0,0,0,0.65184,0.2
"CH",268,7,1.86,2.13,0,0,0,0,0.4,0.27
"MM",262,1,1.76,1.99,0,0.4,0,1,0.5,-0.17
"MM",266,1,1.86,1.99,0,0.1,0,0,0.4,0.03
"MM",229,7,1.69,1.69,0,0.2,0,1,0.149422,-0.2
"MM",236,7,1.75,1.99,0,0.4,0,0,0.119538,-0.16
"MM",237,7,1.75,1.99,0,0.4,0,0,0.09563,-0.16
"MM",238,7,1.75,1.99,0,0.4,0,0,0.076504,-0.16
"MM",242,7,1.86,2.09,0,0,0,0,0.061203,0.23
"MM",254,7,1.86,2.18,0,0,0,0,0.048963,0.32
"MM",255,7,1.86,2.18,0,0,0,0,0.03917,0.32
"CH",233,7,1.75,1.99,0,0.4,1,0,0.744,-0.16
"CH",251,7,1.86,2.09,0.1,0,0,0,0.7952,0.33
"CH",253,7,1.86,2.09,0.1,0,0,0,0.83616,0.33
"CH",254,1,1.76,2.09,0,0,0,0,0.868928,0.33
"CH",260,7,1.86,2.13,0,0.24,0,0,0.895142,0.03
"CH",261,7,1.86,2.13,0,0.24,0,0,0.916114,0.03
