country_code,country_name,expectancy,gdp,total_health,private_health,military,hospital_beds,dpt_coverage
AFG,Afghanistan,64.13,519.8847731,11.77723598,75.48404694,0.9452268,0.39,66
ARG,Argentina,76.372,14613.04182,10.45704365,36.36539459,0.856137916,4.99,86
AUT,Austria,81.64390244,47426.51196,10.38262367,27.62997437,0.756179042,7.37,90
BEL,Belgium,81.49268293,44192.62303,10.40608311,24.07197762,0.895316099,5.66,98
BGR,Bulgaria,74.81463415,8334.081728,7.45326805,45.46370697,1.242051219,7.45,92
BHR,Bahrain,77.032,23742.98502,4.74813128,42.02149963,4.33877531,1.74,97
BLZ,Belize,74.365,4887.577208,5.70125389,29.75114632,1.232179757,1.04,88
BRA,Brazil,75.456,9925.386238,9.46933746,58.05422592,1.419526638,2.09,89
BRN,Brunei Darussalam,75.585,28572.14678,2.27036428,5.41142321,2.865123829,2.85,99
CAN,Canada,81.94878049,45148.55271,10.78964806,26.79112625,1.349529821,2.53,91
CHE,Switzerland,83.55121951,80449.99451,11.89515591,68.44393921,0.68061451,4.65,96
CHL,Chile,79.909,14999.37009,9.06820488,49.60051727,1.93093993,2.11,93
CHN,China,76.47,8879.438667,5.15119171,43.32621002,1.896029598,4.31,99
COL,Colombia,76.925,6376.706716,7.67864275,28.95903969,3.209062437,1.7,92
CRI,Costa Rica,79.914,11814.62657,7.32879639,26.43719292,0.0,1.14,96
CUB,Cuba,78.662,8541.210673,11.7113266,10.48266411,2.872403239,5.33,99
CYP,Cyprus,80.672,26338.69434,6.73828936,58.46661377,1.589445269,3.4,97
CZE,Czech Republic,78.97804878,20636.19995,7.23133898,18.2512188,0.968686618,6.63,96
DEU,Germany,80.99268293,44552.81937,11.32229614,22.28827095,1.163609133,8.0,93
DNK,Denmark,81.10243902,57610.09818,10.03963375,15.97598076,1.146016112,2.61,98
DOM,Dominican Republic,73.689,7609.3388,5.83058691,53.258358,0.700998298,1.56,84
EGY,"Egypt, Arab Rep.",71.656,2444.290311,5.63305616,68.712883,1.4220317,1.43,94
ESP,Spain,83.28292683,28170.16786,8.94249249,29.34728622,1.230679125,2.97,95
EST,Estonia,78.09268293,20458.46073,6.59183788,26.46570587,2.014651509,4.69,93
FIN,Finland,81.63170732,46336.66325,9.14156628,21.98470306,1.365678507,3.28,89
FRA,France,82.57560976,38812.16103,11.39050198,26.69540977,1.910454133,5.98,96
GBR,United Kingdom,81.25609756,40361.41738,9.82511234,20.50606537,1.766636791,2.54,94
GRC,Greece,81.28780488,18930.21863,7.96522522,47.71400833,2.516346981,4.21,99
